Employee_ID,Department,Gender,Age,Hire_Date,Performance_Score,Absences_per_Month,Salary_USD,Tenure_Years,,,,,,
E-2080,Finance,Male,40,25/06/2019,2.53,9,5963.26,6.4,,,,,,
E-2081,Operations,Female,58,01/01/2021,3.41,9,6506.59,4.8,,,,,,
E-2082,HR,Female,39,27/01/2022,3.12,11,4465.97,3.8,,,,,,
E-2083,HR,Female,28,21/07/2015,4.38,10,9203.71,10.3,,,,,,
E-2084,Marketing,Female,52,26/09/2021,4.73,0,12119.39,4.1,,,,,,
E-2085,HR,Male,40,08/06/2010,2.81,11,13315.41,15.4,,,,,,
E-2086,Operations,Male,56,16/03/2013,1.75,9,3492.35,12.6,,,,,,
E-2087,Sales,Male,50,27/09/2025,2.63,5,5626.69,0.1,,,,,,
E-2088,IT,Male,52,03/05/2021,3.44,8,12346.44,4.5,,,,,,
E-2089,Marketing,Female,27,14/07/2017,3.69,15,3959.01,8.3,,,,,,
E-2090,Operations,Male,53,13/10/2023,2.1,1,6691.86,2.1,,,,,,
E-2091,Operations,Female,35,18/08/2025,3.91,7,4748.5,0.2,,,,,,
E-2092,Marketing,Female,22,08/01/2012,4.21,13,6260.18,13.8,,,,,,
E-2093,Sales,Male,55,14/12/2011,2.41,14,6970.7,13.9,,,,,,
E-2094,Finance,Male,23,21/05/2023,4.61,11,6759.8,2.5,,,,,,
E-2095,Finance,Male,52,10/05/2020,2.08,3,9404.36,5.5,,,,,,
E-2096,HR,Male,45,28/03/2021,2.67,9,5624.49,4.6,,,,,,
E-2097,IT,Male,48,02/03/2022,3.94,15,9839.67,3.7,,,,,,
E-2098,Marketing,Female,54,23/08/2020,4.33,9,9504.15,5.2,,,,,,
E-2099,HR,Female,31,15/02/2011,3.09,8,11366.02,14.7,,,,,,
E-2100,Finance,Female,50,10/11/2013,3.36,11,9615.73,12,,,,,,
E-2101,Finance,Male,57,12/10/2025,3.62,2,5361.07,0.1,,,,,,
E-2102,Sales,Female,23,15/04/2013,4.41,14,4383.98,12.6,,,,,,
E-2103,Operations,Female,31,23/07/2016,4.7,13,7489.55,9.3,,,,,,
E-2104,HR,Male,33,22/06/2016,1.97,11,12887.53,9.4,,,,,,
E-2105,Marketing,Female,58,15/05/2015,2.54,13,6884.36,10.5,,,,,,
E-2106,Sales,Female,37,16/07/2014,2.93,1,6121.44,11.3,,,,,,
E-2107,HR,Female,32,08/02/2020,3.41,14,4969.11,5.7,,,,,,
E-2108,Finance,Female,54,05/09/2024,4.91,5,11529.9,1.2,,,,,,
E-2109,Finance,Male,26,30/03/2015,4.9,7,5222.4,10.6,,,,,,
E-2110,Marketing,Male,51,04/02/2012,4.8,15,8286.39,13.8,,,,,,
E-2111,Marketing,Female,25,18/10/2025,2.59,0,4809.07,0,,,,,,
E-2112,Marketing,Male,39,17/04/2020,2.13,6,10125.98,5.5,,,,,,
E-2113,IT,Female,47,16/10/2021,3.11,3,8901.12,4,,,,,,
E-2114,Operations,Male,59,16/08/2011,3.38,12,12740.46,14.2,,,,,,
E-2115,Marketing,Male,57,03/11/2022,4.15,13,6468.29,3,,,,,,
E-2116,IT,Male,36,21/03/2025,4,11,4409.98,0.6,,,,,,
E-2117,Finance,Male,50,07/05/2016,4.62,5,8059.18,9.5,,,,,,
E-2118,IT,Female,42,17/10/2025,1.87,3,5805.84,0,,,,,,
E-2119,Finance,Male,37,03/12/2011,4.78,11,9650.43,13.9,,,,,,
E-2120,HR,Male,33,03/11/2020,3.78,6,9014.23,5,,,,,,
E-2121,Finance,Female,30,04/10/2022,3.81,15,4413.45,3.1,,,,,,
E-2122,IT,Female,55,07/02/2021,4.81,8,4293.83,4.7,,,,,,
E-2123,Marketing,Male,39,21/10/2010,3.45,1,13005.97,15,,,,,,
E-2124,HR,Female,45,29/09/2021,3.23,5,7433.39,4.1,,,,,,
E-2125,HR,Male,33,31/08/2011,1.57,10,6363.42,14.2,,,,,,
E-2126,Marketing,Male,48,13/12/2013,3.51,9,11052.99,11.9,,,,,,
E-2127,Sales,Male,40,26/07/2025,2.97,11,3223.63,0.3,,,,,,
E-2128,Finance,Male,33,28/06/2010,4.09,13,4508.43,15.4,,,,,,
E-2129,Sales,Male,58,29/07/2011,3.98,2,14628.12,14.3,,,,,,
E-2130,Marketing,Female,22,13/04/2020,4.6,13,12899.11,5.6,,,,,,
E-2131,IT,Male,54,20/02/2016,1.98,6,5666.41,9.7,,,,,,
E-2132,IT,Male,57,09/05/2022,4.64,10,7365.99,3.5,,,,,,
E-2133,Sales,Female,57,29/03/2025,4,11,3267.47,0.6,,,,,,
E-2134,Operations,Male,32,07/06/2014,2.09,5,13657.87,11.4,,,,,,
E-2135,IT,Female,39,18/01/2012,2.61,15,14704.64,13.8,,,,,,
E-2136,HR,Female,37,13/07/2017,3.19,4,8567.34,8.3,,,,,,
E-2137,Operations,Female,22,26/12/2017,3.55,2,10240.87,7.9,,,,,,
E-2138,Finance,Female,55,29/05/2017,2.03,7,6035.53,8.4,,,,,,
E-2139,IT,Female,53,25/10/2021,2.87,1,14052.96,4,,,,,,
E-2140,Marketing,Female,47,08/05/2023,3.73,7,5563.07,2.5,,,,,,
E-2141,Marketing,Female,30,06/09/2010,2.43,0,12124.76,15.2,,,,,,
E-2142,Finance,Female,59,03/02/2012,4.69,12,7714.27,13.8,,,,,,
E-2143,Finance,Female,47,17/07/2021,3.42,3,6800.55,4.3,,,,,,
E-2144,Operations,Female,46,27/08/2013,2.5,2,4866.88,12.2,,,,,,
E-2145,Finance,Female,57,16/08/2014,3.95,0,6690.49,11.2,,,,,,
E-2146,Finance,Male,44,23/12/2018,1.83,14,13628.71,6.9,,,,,,
E-2147,Sales,Male,36,05/10/2022,4.44,6,7644.67,3.1,,,,,,
E-2148,Sales,Male,23,06/11/2010,3.15,3,6136.39,15,,,,,,
E-2149,Marketing,Female,34,05/09/2022,1.53,3,5135.22,3.2,,,,,,
E-2150,Operations,Male,59,12/05/2014,2.48,5,7734.39,11.5,,,,,,
E-2151,IT,Male,30,12/08/2021,3.15,10,7891.14,4.2,,,,,,
E-2152,Finance,Male,33,29/10/2010,3.68,5,3302.28,15,,,,,,
E-2153,Operations,Female,35,28/06/2025,3.05,8,10739.72,0.3,,,,,,
E-2154,IT,Female,29,23/10/2019,2.71,2,9909.39,6,,,,,,
E-2155,HR,Male,36,19/08/2013,4.64,4,8543.31,12.2,,,,,,
E-2156,Marketing,Male,57,14/02/2014,2.93,13,14357.79,11.7,,,,,,
E-2157,Marketing,Female,56,10/05/2019,4.98,5,12936.24,6.5,,,,,,
E-2158,Sales,Male,43,20/10/2015,2.2,5,7709.43,10,,,,,,
E-2159,IT,Male,51,18/06/2019,4.52,12,3626.45,6.4,,,,,,
E-2160,HR,Female,45,25/01/2018,3.72,0,11282.73,7.8,,,,,,
E-2161,HR,Male,53,08/04/2010,2.48,13,5053.38,15.6,,,,,,
E-2162,HR,Female,56,28/06/2019,1.86,8,13481.65,6.4,,,,,,
E-2163,HR,Female,48,11/11/2015,3.13,7,10159.18,10,,,,,,
E-2164,HR,Female,55,23/03/2017,3.31,13,14139.99,8.6,,,,,,
E-2165,Marketing,Female,45,27/10/2023,2.62,8,3192.36,2,,,,,,
E-2166,HR,Female,42,04/10/2017,3.35,12,7832.15,8.1,,,,,,
E-2167,Marketing,Male,45,27/07/2012,3.41,1,7452.96,13.3,,,,,,
E-2168,Operations,Male,30,14/07/2011,2.39,15,8007.93,14.3,,,,,,
E-2169,Finance,Female,34,13/02/2021,4.26,8,9751.27,4.7,,,,,,
E-2170,IT,Female,37,03/02/2015,2.98,11,5102.53,10.8,,,,,,
E-2171,HR,Female,24,16/04/2023,4.84,2,6698.81,2.5,,,,,,
E-2172,HR,Female,46,09/11/2014,3.51,1,12708.04,11,,,,,,
E-2173,Marketing,Female,47,18/03/2017,4.11,1,10710.97,8.6,,,,,,
E-2174,Operations,Male,59,26/09/2015,3.09,0,11523.45,10.1,,,,,,
E-2175,Marketing,Male,22,17/09/2018,3.49,11,11477.64,7.1,,,,,,
E-2176,Marketing,Male,24,04/04/2019,2.55,11,6521.38,6.6,,,,,,
E-2177,IT,Male,28,09/02/2019,2.52,1,9868.26,6.7,,,,,,
E-2178,Operations,Female,36,13/02/2015,2.08,7,5625.77,10.7,,,,,,
E-2179,Sales,Male,31,12/08/2023,1.63,6,9019.91,2.2,,,,,,
E-2180,Finance,Female,24,15/02/2025,3.96,8,13198.99,0.7,,,,,,
E-2181,Finance,Female,55,10/06/2020,4.76,8,4318.88,5.4,,,,,,
E-2182,HR,Female,32,07/01/2016,4.05,4,11727.74,9.8,,,,,,
E-2183,Operations,Female,45,22/02/2022,2.34,3,13755.29,3.7,,,,,,
E-2184,Sales,Female,28,25/05/2017,2.34,14,10271.42,8.4,,,,,,
E-2185,Sales,Male,37,12/04/2013,2.74,3,12409,12.6,,,,,,
E-2186,Finance,Male,36,29/05/2011,3.57,8,3814.12,14.4,,,,,,
E-2187,Finance,Female,54,05/10/2018,2.56,0,8235.28,7.1,,,,,,
E-2188,Marketing,Female,30,28/02/2021,4.32,4,5270.92,4.7,,,,,,
E-2189,HR,Female,41,17/10/2023,1.53,6,9147.23,2,,,,,,
E-2190,IT,Female,24,26/11/2021,2.94,3,11483.31,3.9,,,,,,
E-2191,HR,Male,53,19/12/2019,4.97,5,14491.77,5.9,,,,,,
E-2192,Finance,Male,32,29/11/2016,4.53,3,9306.22,8.9,,,,,,
E-2193,Sales,Female,43,26/01/2011,4.35,11,6728.24,14.8,,,,,,
E-2194,HR,Male,49,25/09/2012,3.92,0,12814.56,13.1,,,,,,
E-2195,Sales,Female,23,03/04/2010,2.07,1,10594.67,15.6,,,,,,
E-2196,Finance,Female,49,20/11/2015,3.23,6,11017.13,10,,,,,,
E-2197,Finance,Male,25,11/06/2023,3.11,14,10690.68,2.4,,,,,,
E-2198,Marketing,Male,60,07/10/2024,3.07,1,9710.43,1.1,,,,,,
E-2199,Sales,Female,28,18/02/2013,2.18,1,3876.55,12.7,,,,,,
E-2200,Finance,Male,26,25/08/2022,1.54,9,13551.38,3.2,,,,,,
E-2201,Finance,Female,49,06/10/2014,4.01,7,6685.04,11.1,,,,,,
E-2202,HR,Male,45,25/10/2019,4.6,10,11894.16,6,,,,,,
E-2203,IT,Female,52,02/04/2025,2.7,2,13125.76,0.6,,,,,,
E-2204,Finance,Female,55,25/06/2020,2.23,3,14019.76,5.4,,,,,,
E-2205,Finance,Male,32,19/02/2011,3.31,3,9533.62,14.7,,,,,,
E-2206,Operations,Female,33,12/09/2024,4.35,14,11740.23,1.1,,,,,,
E-2207,HR,Male,57,26/07/2011,3.91,13,11461.1,14.3,,,,,,
E-2208,Operations,Male,41,28/12/2016,2.04,10,7031.26,8.8,,,,,,
E-2209,HR,Male,23,08/11/2018,4.36,7,11746.82,7,,,,,,
E-2210,IT,Male,40,15/09/2024,4.71,7,14267.13,1.1,,,,,,
E-2211,Finance,Male,30,15/03/2014,4.23,0,13562.37,11.6,,,,,,
E-2212,Sales,Male,60,26/06/2022,3.75,12,8613.16,3.4,,,,,,
E-2213,Finance,Female,39,31/08/2014,4.29,13,8306.22,11.2,,,,,,
E-2214,Finance,Male,46,28/02/2025,3.38,0,3248.14,0.7,,,,,,
E-2215,IT,Male,23,12/02/2013,4.95,1,13034.89,12.7,,,,,,
E-2216,HR,Male,56,12/04/2016,4,3,7570.79,9.6,,,,,,
E-2217,Operations,Female,29,07/12/2015,2.87,6,13812.05,9.9,,,,,,
E-2218,Sales,Female,30,29/10/2012,2.78,4,5788.75,13,,,,,,
E-2219,Sales,Male,60,13/09/2025,2.71,4,8633.72,0.1,,,,,,
E-2220,Sales,Female,27,18/03/2012,4.48,15,13917.05,13.6,,,,,,
E-2221,Operations,Male,26,09/10/2012,3.32,11,13853.25,13.1,,,,,,
E-2222,Finance,Male,23,17/01/2010,2.97,13,3888.69,15.8,,,,,,
E-2223,Operations,Female,24,04/07/2015,3.08,13,8412.04,10.3,,,,,,
E-2224,HR,Female,43,29/03/2025,3.22,0,10761.78,0.6,,,,,,
E-2225,HR,Female,26,23/06/2013,2.58,3,4357.63,12.4,,,,,,
E-2226,HR,Female,35,01/05/2022,3.58,5,13432.36,3.5,,,,,,
E-2227,Operations,Male,57,06/02/2022,4.19,2,7965.27,3.7,,,,,,
E-2228,Sales,Male,25,16/01/2011,4.08,8,12973.96,14.8,,,,,,
E-2229,IT,Male,55,08/03/2013,2.44,8,8938.88,12.7,,,,,,
E-2230,HR,Female,28,09/05/2019,3.59,15,11291.19,6.5,,,,,,
E-2231,HR,Female,26,19/09/2018,3.43,6,10577.82,7.1,,,,,,
E-2232,Marketing,Male,43,22/02/2019,3.77,5,3880.73,6.7,,,,,,
E-2233,Operations,Female,44,21/01/2011,3.39,10,5618.26,14.8,,,,,,
E-2234,Sales,Male,36,22/06/2017,3.49,4,14057.1,8.4,,,,,,
E-2235,IT,Female,56,04/02/2014,3.31,1,6434.15,11.7,,,,,,
E-2236,IT,Female,48,12/12/2010,2.41,12,10382.64,14.9,,,,,,
E-2237,Operations,Male,24,17/05/2010,2.6,15,12358.76,15.5,,,,,,
E-2238,Sales,Female,25,01/01/2025,1.76,4,12737,0.8,,,,,,
E-2239,HR,Male,57,09/07/2022,4.86,15,8798.18,3.3,,,,,,
E-2240,IT,Female,32,17/03/2022,2.09,6,13617.35,3.6,,,,,,
E-2241,IT,Female,51,03/04/2013,1.6,10,7200.03,12.6,,,,,,
E-2242,Finance,Female,27,28/12/2021,1.75,0,3417.34,3.8,,,,,,
E-2243,IT,Male,55,02/03/2019,4.08,2,6603.29,6.7,,,,,,
E-2244,Marketing,Female,48,05/07/2015,4.48,2,12498.29,10.3,,,,,,
E-2245,IT,Female,43,19/12/2023,1.82,8,3002.18,1.9,,,,,,
E-2246,HR,Female,28,06/01/2010,2.39,12,14945.81,15.8,,,,,,
E-2247,IT,Male,32,02/01/2018,2.48,14,10248.65,7.8,,,,,,
E-2248,IT,Male,51,13/03/2022,1.88,9,13083.73,3.6,,,,,,
E-2249,Operations,Male,32,15/11/2014,4.99,7,10607.7,11,,,,,,
E-2250,HR,Male,47,15/12/2021,4.47,7,8315.88,3.9,,,,,,
E-2251,HR,Male,38,28/10/2020,4.16,9,6159.41,5,,,,,,
E-2252,HR,Female,57,15/04/2022,4.15,6,12837.85,3.6,,,,,,
E-2253,HR,Male,49,25/11/2017,4.29,13,9288.03,7.9,,,,,,
E-2254,Operations,Male,32,28/05/2010,4.25,5,11683.36,15.4,,,,,,
E-2255,HR,Male,48,17/04/2012,4.26,9,7770.96,13.6,,,,,,
E-2256,IT,Male,38,18/01/2012,2.19,5,13388.12,13.8,,,,,,
E-2257,Finance,Male,47,25/02/2011,2.41,7,3196.52,14.7,,,,,,
E-2258,Marketing,Female,57,06/11/2023,2.63,9,12181.09,2,,,,,,
E-2259,Operations,Female,28,27/02/2014,4.66,15,8398.32,11.7,,,,,,
E-2260,Finance,Female,23,20/02/2011,2.41,12,14957.65,14.7,,,,,,
E-2261,IT,Female,36,09/11/2019,3.28,10,10097.75,6,,,,,,
E-2262,IT,Male,33,07/10/2012,4.19,3,5805.7,13.1,,,,,,
E-2263,Finance,Female,36,02/09/2014,4.66,2,8434.31,11.2,,,,,,
E-2264,Operations,Female,39,18/12/2023,2.24,0,11891.85,1.9,,,,,,
E-2265,Sales,Female,28,13/06/2015,3.17,15,10739.38,10.4,,,,,,
E-2266,Operations,Female,38,25/05/2019,4.81,6,9934.31,6.4,,,,,,
E-2267,HR,Male,54,22/12/2018,2.82,3,7825.34,6.9,,,,,,
E-2268,Sales,Female,52,26/10/2015,3.6,1,12292.15,10,,,,,,
E-2269,HR,Male,50,13/04/2019,1.8,8,7871.32,6.6,,,,,,
E-2270,HR,Female,41,01/07/2022,1.7,6,11664.6,3.3,,,,,,
E-2271,IT,Female,40,12/03/2022,2.36,12,10076.25,3.6,,,,,,
E-2272,Finance,Male,26,16/04/2023,1.53,3,13573.33,2.5,,,,,,
E-2273,Marketing,Female,57,21/04/2010,2.09,7,8564.87,15.5,,,,,,
E-2274,Sales,Female,33,12/06/2022,2.24,5,5518.11,3.4,,,,,,
E-2275,HR,Male,40,16/02/2014,4.73,13,4063.94,11.7,,,,,,
E-2276,Finance,Female,60,20/01/2022,4.46,14,7670.34,3.8,,,,,,
E-2277,Marketing,Female,44,01/11/2016,3.4,5,14702.98,9,,,,,,
E-2278,Sales,Female,41,10/08/2010,3.75,2,11418.85,15.2,,,,,,
E-2279,IT,Female,26,24/09/2025,2.05,5,13279.35,0.1,,,,,,
E-2280,Marketing,Female,59,08/07/2013,3.78,12,13278.8,12.3,,,,,,
E-2281,Operations,Female,27,26/04/2017,1.95,9,9707.74,8.5,,,,,,
E-2282,Finance,Female,37,21/09/2016,1.78,3,3119.66,9.1,,,,,,
E-2283,Operations,Female,34,28/11/2020,4.24,11,6771.92,4.9,,,,,,
E-2284,Finance,Male,35,18/03/2010,3.82,15,14709.39,15.6,,,,,,
E-2285,IT,Male,28,28/04/2015,3.68,6,4828.59,10.5,,,,,,
E-2286,Finance,Female,40,19/04/2023,3.38,13,10429.34,2.5,,,,,,
E-2287,HR,Female,56,10/03/2010,2.67,8,10306.96,15.7,,,,,,
E-2288,Sales,Male,54,10/10/2019,3.08,1,3343.22,6.1,,,,,,
E-2289,IT,Female,55,07/03/2023,2.47,13,3278.61,2.7,,,,,,
E-2290,Operations,Female,43,17/08/2023,3.48,2,14061.94,2.2,,,,,,
E-2291,Operations,Male,30,18/07/2018,1.92,0,12087.97,7.3,,,,,,
E-2292,HR,Male,34,17/07/2020,4.89,7,14421.63,5.3,,,,,,
E-2293,Marketing,Male,24,12/05/2010,3.95,10,12472.38,15.5,,,,,,
E-2294,HR,Female,60,08/09/2023,4.13,13,3204.32,2.2,,,,,,
E-2295,HR,Female,45,27/06/2019,2.38,5,6773.45,6.4,,,,,,
E-2296,IT,Male,33,30/12/2010,4.64,5,9973.85,14.8,,,,,,
E-2297,HR,Male,40,11/06/2014,3.67,13,6996.55,11.4,,,,,,
E-2298,IT,Male,47,18/02/2020,4.9,2,8688.1,5.7,,,,,,
E-2299,IT,Female,34,14/09/2018,4.66,8,9759.16,7.1,,,,,,
E-2300,IT,Male,46,30/06/2018,2.02,6,9584.84,7.3,,,,,,
E-2301,Finance,Female,36,12/06/2012,3.48,10,8752.23,13.4,,,,,,
E-2302,Marketing,Female,32,16/03/2022,4.73,1,14964.04,3.6,,,,,,
E-2303,Sales,Female,57,25/01/2013,3.4,15,7816.19,12.8,,,,,,
E-2304,Marketing,Female,27,27/04/2019,3.75,2,7665.64,6.5,,,,,,
E-2305,Marketing,Male,38,08/03/2011,1.73,8,3223.56,14.7,,,,,,
E-2306,Operations,Male,41,30/10/2010,4.09,2,5148.67,15,,,,,,
E-2307,Finance,Female,55,18/06/2016,3.31,14,12681.93,9.4,,,,,,
E-2308,HR,Female,39,03/05/2014,4.86,1,12662.85,11.5,,,,,,
E-2309,HR,Male,53,22/01/2010,2.56,1,6483.02,15.8,,,,,,
E-2310,IT,Female,36,26/09/2014,3.14,3,10767.16,11.1,,,,,,
E-2311,Marketing,Male,42,01/10/2015,2.77,10,14308,10.1,,,,,,
E-2312,HR,Male,48,06/09/2019,3.3,10,11524.92,6.2,,,,,,
E-2313,Operations,Male,43,20/02/2020,3.9,6,7913.81,5.7,,,,,,
E-2314,HR,Female,22,05/07/2021,1.62,13,13571.01,4.3,,,,,,
E-2315,HR,Male,36,23/02/2015,3.62,0,8105.81,10.7,,,,,,
E-2316,HR,Male,35,08/08/2020,4.02,11,5463.38,5.2,,,,,,
E-2317,Marketing,Male,54,31/12/2014,4.87,14,6855.92,10.8,,,,,,
E-2318,Sales,Female,45,03/01/2023,1.97,7,5366.6,2.8,,,,,,
E-2319,Marketing,Male,40,06/12/2011,3.04,12,5408.17,13.9,,,,,,
E-2320,IT,Female,44,30/07/2022,4.08,2,12806.91,3.3,,,,,,
E-2321,HR,Female,57,18/04/2019,4.71,12,3918.88,6.5,,,,,,
E-2322,Operations,Male,40,24/06/2022,3.08,14,14299.02,3.4,,,,,,
E-2323,Marketing,Male,42,27/07/2012,4.31,12,4575.95,13.3,,,,,,
E-2324,Sales,Female,38,27/02/2020,2.89,1,14439.02,5.7,,,,,,
E-2325,HR,Female,56,20/06/2021,4.86,7,6508.13,4.4,,,,,,
E-2326,Operations,Male,29,27/08/2016,1.65,8,3669.99,9.2,,,,,,
E-2327,IT,Male,40,25/11/2011,2.59,9,11884.49,13.9,,,,,,
E-2328,HR,Female,42,21/01/2019,4.04,2,7300.99,6.8,,,,,,
E-2329,Sales,Female,46,29/07/2012,2.05,8,13971.65,13.3,,,,,,
E-2330,Sales,Male,47,12/11/2020,3.17,15,12085.97,5,,,,,,
E-2331,Sales,Female,37,31/10/2014,3.45,0,13480.64,11,,,,,,
E-2332,HR,Female,55,03/05/2018,2.62,10,4907.5,7.5,,,,,,
E-2333,Finance,Female,45,03/03/2012,1.98,10,8522.94,13.7,,,,,,
